
Visitantes
Visitantes estimados de Museos y Colecciones Museográficas por comunidad autónoma y tamaño de municipio.
Unidades: ?

	Museos y Colecciones Museográficas	Visitantes estimados: Total	Visitantes estimados: por museo	
	2020	2020	2020	
TOTAL	1474.0	2.0365712E7	13817.0	
Andalucía	166.0	2335248.0	14068.0	
Aragón	79.0	585757.0	7415.0	
Asturias (Principado de)	51.0	390931.0	7665.0	
Balears (Illes)	58.0	800477.0	13801.0	
Canarias	43.0	553035.0	12861.0	
Cantabria	13.0	190831.0	14679.0	
Castilla y León	118.0	1129295.0	9570.0	
Castilla-La Mancha	187.0	1129194.0	6038.0	
Cataluña	118.0	2514081.0	21306.0	
Comunitat Valenciana	239.0	1835761.0	7681.0	
Extremadura	49.0	529970.0	10816.0	
Galicia	83.0	700268.0	8437.0	
Madrid (Comunidad de)	131.0	6158439.0	47011.0	
Murcia (Región de)	34.0	294991.0	8676.0	
Navarra (Comunidad Foral de)	13.0	86203.0	6631.0	
País Vasco	63.0	1024482.0	16262.0	
Rioja (La)	16.0	67496.0	4219.0	
Ceuta	4.0	14457.0	3614.0	
Melilla	9.0	24796.0	2755.0	
Capital de provincia	402.0	1.4481329E7	36023.0	
Más de 100.000 habitantes	64.0	833334.0	13021.0	
De 25.001 a 100.000 habitantes	223.0	1848108.0	8287.0	
De 10.001 a 25.000 habitantes	223.0	1330573.0	5967.0	
De 2.001 a 10.000 habitantes	302.0	1286050.0	4258.0	
Menos de 2.001 habitantes	260.0	586318.0	2255.0	
Notas:
Se refiere a los  1.474 Museos y Colecciones Museográficas, una vez   estimada la no respuesta. El procedimiento utilizado para la  estimación se detalla en el apartado Notas Metodológicas.
Fuente: CULTURABase. Ministerio de Cultura y Deporte. Estadística de Museos y Colecciones Museográficas 2020.
