
Museos, monumentos y archivos
Valoración media del grado de interés por los museos, exposiciones, galerías de arte, monumentos, yacimientos arqueológicos y archivos por sexo, edad y situación personal.
Unidades: Valores de 0 a 10

	Museos	Exposiciones	Galerías de arte	Monumentos	Yacimientos arqueológicos	Archivos	
	2021-2022	2021-2022	2021-2022	2021-2022	2021-2022	2021-2022	
TOTAL	5.6	5.2	4.6	6.4	5.6	3.3	
Hombres	5.2	5.0	4.2	6.1	5.5	3.3	
Mujeres	5.9	5.5	4.9	6.6	5.8	3.4	
De 15 a 19 años	5.6	5.4	4.7	6.1	5.7	3.7	
De 20 a 24 años	5.7	5.4	4.8	6.5	5.8	3.7	
De 25 a 34 años	5.5	5.3	4.7	6.4	5.8	3.6	
De 35 a 44 años	5.8	5.5	4.7	6.6	6.1	3.7	
De 45 a 54 años	5.8	5.5	4.7	6.6	5.9	3.5	
De 55 a 64 años	5.8	5.4	4.7	6.6	5.8	3.4	
De 65 a 74 años	5.3	4.8	4.3	6.1	5.2	2.8	
De 75 años en adelante	4.8	4.4	3.8	5.6	4.5	2.3	
Sit. personal: soltero en casa de sus padres	5.5	5.3	4.7	6.3	5.7	3.7	
Sit. personal: soltero independiente, divorciado, separado o viudo (con o sin hijos)	5.5	5.2	4.5	6.2	5.5	3.2	
Sit. personal: casado o en pareja sin hijos	5.7	5.4	4.8	6.5	5.7	3.5	
Sit. personal: casado o en pareja con hijos menores de 18 años	5.8	5.5	4.7	6.7	6.0	3.7	
Sit. personal: casado o en pareja con hijos de 18 años en adelante en casa	5.5	5.2	4.4	6.4	5.6	3.1	
Sit. personal: casado o en pareja viviendo solos (con hijos mayores)	5.3	4.9	4.2	6.1	5.2	2.7	
Sit. personal: otros	5.2	4.8	4.3	5.9	5.1	3.1	
Notas:
Fuente: Ministerio de Cultura y Deporte. Encuesta de Hábitos y Prácticas Culturales en España 2021-2022
