
Visitantes
Visitantes extranjeros en Museos y Colecciones Museográficas por comunidad autónoma y tamaño de municipio.
Unidades: ?

	Museos y Colecciones Museográficas: TOTAL	Museos y Colecciones Museográficas: N	Visitantes extranjeros en % del total	Visitantes extranjeros por museo	
	2020	2020	2020	2020	
TOTAL	1474.0	544.0	9.9	3246.0	
Andalucía	166.0	56.0	6.7	2776.0	
Aragón	79.0	32.0	2.3	422.0	
Asturias (Principado de)	51.0	21.0	2.2	409.0	
Balears (Illes)	58.0	22.0	6.7	2433.0	
Canarias	43.0	22.0	23.3	5849.0	
Cantabria	13.0	5.0	1.4	553.0	
Castilla y León	118.0	65.0	7.4	1280.0	
Castilla-La Mancha	187.0	35.0	7.2	2323.0	
Cataluña	118.0	..	..	..	
Comunitat Valenciana	239.0	84.0	4.4	967.0	
Extremadura	49.0	29.0	12.4	2261.0	
Galicia	83.0	33.0	3.4	719.0	
Madrid (Comunidad de)	131.0	43.0	12.6	18033.0	
Murcia (Región de)	34.0	22.0	9.9	1327.0	
Navarra (Comunidad Foral de)	13.0	10.0	5.6	482.0	
País Vasco	63.0	49.0	24.9	5209.0	
Rioja (La)	16.0	8.0	3.0	254.0	
Ceuta	4.0	1.0	0.8	120.0	
Melilla	9.0	7.0	5.6	198.0	
Capital de provincia	402.0	181.0	11.2	7903.0	
Más de 100.000 habitantes	64.0	22.0	5.0	1549.0	
De 25.001 a 100.000 habitantes	223.0	78.0	8.4	1522.0	
De 10.001 a 25.000 habitantes	223.0	91.0	10.3	1353.0	
De 2.001 a 10.000 habitantes	302.0	100.0	3.7	450.0	
Menos de 2.001 habitantes	260.0	72.0	2.6	201.0	
Notas:

.. Dato no disponibleMuseos y Colecciones Museográficas: N. Se refiere a los Museos y  Colecciones Museográficas que informaron sobre el número de  visitantes extranjeros.
Fuente: CULTURABase. Ministerio de Cultura y Deporte. Estadística de Museos y Colecciones Museográficas 2020.
